"state","city","tourist_place","category","date_recorded","altitude","climate_type","season","climate_change_risk","rainfall_mm"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","27","528","Mountain","Summer","High","100"
"Sikkim","Gangtok","Tsomgo Lake","Lake","5/14/2023","3349","Humid","Monsoon","Moderate","143"
"Maharashtra","Mumbai","Marine Drive","Coastal","1/14/2023","2098","Tropical","Winter","Moderate","182"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","4/4/2023","1365","Tropical","Monsoon","Low","317"
"Ladakh","Leh","Pangong Lake","Lake","12/6/2023","941","Humid","Monsoon","High","177"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","9/8/2023","1610","Humid","Summer","Moderate","50"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","2/13/2023","1305","Humid","Summer","Moderate","206"
"Karnataka","Mysore","Mysore Palace","Palace","6/7/2023","3469","Mountain","Monsoon","High","131"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","1/29/2023","708","Cold","Monsoon","Moderate","390"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","12/13/2023","2206","Tropical","Monsoon","Moderate","73"
"Maharashtra","Mumbai","Marine Drive","Coastal","2/23/2023","1868","Mountain","Monsoon","Low","400"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","7/16/2023","3261","Mountain","Monsoon","Moderate","284"
"Meghalaya","Shillong","Living Root Bridges","Nature","5/24/2023","2823","Humid","Monsoon","Low","85"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","6/27/2023","3591","Tropical","Summer","Moderate","101"
"Maharashtra","Pune","Shaniwar Wada","Fort","11/22/2023","3980","Tropical","Summer","Moderate","238"
"Maharashtra","Mumbai","Marine Drive","Coastal","12/24/2023","2210","Mountain","Monsoon","High","74"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","2/1/2023","2038","Mountain","Monsoon","Low","230"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","1/6/2023","2538","Hot-Dry","Monsoon","High","306"
"Rajasthan","Jaipur","Hawa Mahal","Monument","7/23/2023","3313","Hot-Dry","Summer","High","147"
"Odisha","Puri","Jagannath Temple","Temple","3/18/2023","3016","Hot-Dry","Winter","Low","122"
"Karnataka","Hampi","Virupaksha Temple","Temple","3/15/2023","3893","Hot-Dry","Summer","Moderate","28"
"Karnataka","Hampi","Virupaksha Temple","Temple","8/21/2023","625","Mountain","Summer","Low","312"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","9/11/2023","1618","Humid","Winter","High","167"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","3/10/2023","2193","Humid","Monsoon","High","397"
"Telangana","Hyderabad","Golconda Fort","Fort","12/1/2023","1745","Cold","Monsoon","High","97"
"Kerala","Kochi","Fort Kochi","Heritage","6/14/2023","2052","Hot-Dry","Monsoon","Low","12"
"Meghalaya","Shillong","Living Root Bridges","Nature","4/7/2023","2053","Cold","Summer","Moderate","75"
"Maharashtra","Mumbai","Gateway of India","Monument","5/28/2023","2587","Mountain","Summer","Low","50"
"Maharashtra","Pune","Shaniwar Wada","Fort","1/30/2023","3274","Tropical","Summer","High","366"
"Tamil Nadu","Chennai","Marina Beach","Beach","12/21/2023","581","Hot-Dry","Winter","High","36"
"West Bengal","Kolkata","Victoria Memorial","Monument","6/24/2023","2790","Hot-Dry","Summer","High","279"
"Rajasthan","Jaipur","Hawa Mahal","Monument","6/24/2023","1564","Humid","Winter","High","106"
"Rajasthan","Udaipur","City Palace","Palace","10/25/2023","743","Tropical","Monsoon","High","392"
"Uttar Pradesh","Agra","Agra Fort","Monument","9/15/2023","2831","Tropical","Summer","Moderate","164"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","8/6/2023","2807","Mountain","Winter","Moderate","366"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","1/17/2023","256","Humid","Summer","Low","86"
"Maharashtra","Pune","Shaniwar Wada","Fort","12/7/2023","778","Hot-Dry","Monsoon","Moderate","338"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","5/11/2023","394","Tropical","Monsoon","Moderate","255"
"Meghalaya","Shillong","Living Root Bridges","Nature","2/9/2023","1765","Humid","Winter","High","75"
"Delhi","Delhi","India Gate","Monument","1/30/2023","2098","Mountain","Winter","High","47"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","7/5/2023","458","Humid","Monsoon","Moderate","157"
"Goa","Goa","Calangute Beach","Beach","12/14/2023","1961","Mountain","Monsoon","Low","169"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","7/13/2023","986","Hot-Dry","Monsoon","High","202"
"Maharashtra","Mumbai","Gateway of India","Monument","3/9/2023","634","Tropical","Winter","Moderate","383"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","11/21/2023","2055","Humid","Summer","Moderate","284"
"Rajasthan","Udaipur","City Palace","Palace","3/11/2023","1867","Humid","Summer","Moderate","238"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","7/19/2023","3902","Mountain","Summer","Moderate","336"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","7/29/2023","76","Humid","Summer","High","145"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","2/27/2023","3867","Mountain","Monsoon","Low","217"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","7/18/2023","989","Cold","Summer","Moderate","241"
"Delhi","Delhi","Red Fort","Fort","8/4/2023","452","Cold","Winter","Moderate","260"
"Karnataka","Hampi","Virupaksha Temple","Temple","9/29/2023","2998","Cold","Summer","Moderate","225"
"Sikkim","Gangtok","Tsomgo Lake","Lake","7/4/2023","1062","Mountain","Monsoon","Low","342"
"Goa","Goa","Calangute Beach","Beach","10/19/2023","1754","Hot-Dry","Monsoon","High","257"
"West Bengal","Kolkata","Howrah Bridge","Bridge","10/27/2023","3494","Hot-Dry","Summer","Low","309"
"Maharashtra","Mumbai","Gateway of India","Monument","4/18/2023","179","Cold","Summer","High","81"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","10/30/2023","1795","Humid","Monsoon","Low","331"
"Telangana","Hyderabad","Golconda Fort","Fort","11/24/2023","2916","Tropical","Winter","Low","368"
"Odisha","Konark","Sun Temple","Temple","4/26/2023","852","Cold","Winter","Low","44"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","9/23/2023","1331","Hot-Dry","Monsoon","Moderate","228"
"Delhi","Delhi","India Gate","Monument","8/21/2023","601","Hot-Dry","Monsoon","High","18"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","7/29/2023","580","Humid","Monsoon","High","117"
"Rajasthan","Jaipur","Amber Fort","Fort","8/4/2023","3082","Hot-Dry","Winter","Moderate","188"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","5/5/2023","1901","Hot-Dry","Monsoon","Low","314"
"Maharashtra","Mumbai","Gateway of India","Monument","7/29/2023","2235","Humid","Monsoon","Low","51"
"Meghalaya","Shillong","Living Root Bridges","Nature","2/23/2023","308","Humid","Winter","Low","33"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","1/14/2023","1141","Tropical","Winter","Low","242"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","5/15/2023","1588","Hot-Dry","Winter","Low","68"
"Uttar Pradesh","Agra","Taj Mahal","Monument","12/10/2023","1251","Cold","Monsoon","Moderate","163"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","10/18/2023","2115","Tropical","Monsoon","Moderate","169"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","6/25/2023","297","Tropical","Monsoon","High","112"
"Telangana","Hyderabad","Golconda Fort","Fort","11/15/2023","967","Cold","Winter","Moderate","149"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","9/4/2023","748","Tropical","Winter","Moderate","246"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","12/25/2023","3341","Mountain","Monsoon","High","185"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","8/2/2023","3866","Mountain","Winter","Low","35"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","12/10/2023","76","Cold","Monsoon","High","33"
"Punjab","Amritsar","Golden Temple","Temple","8/7/2023","1654","Cold","Monsoon","High","229"
"Maharashtra","Mumbai","Gateway of India","Monument","2/28/2023","753","Tropical","Monsoon","Low","110"
"Sikkim","Gangtok","Tsomgo Lake","Lake","12/22/2023","1062","Mountain","Summer","High","316"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","11/24/2023","2641","Humid","Summer","High","196"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","7/13/2023","2760","Humid","Winter","Moderate","21"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","12/21/2023","2998","Cold","Summer","High","116"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","12/19/2023","2132","Cold","Summer","High","89"
"Kerala","Munnar","Tea Gardens","Nature","2/23/2023","2161","Cold","Winter","High","389"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","3/16/2023","719","Cold","Winter","Low","388"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","2/27/2023","3800","Mountain","Summer","Low","163"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","5/7/2023","1734","Humid","Monsoon","Moderate","153"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","6/23/2023","2635","Tropical","Monsoon","Low","46"
"Delhi","Delhi","Red Fort","Fort","6/10/2023","936","Tropical","Monsoon","Low","5"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","10/4/2023","3320","Tropical","Winter","Moderate","306"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","7/10/2023","433","Tropical","Monsoon","Low","14"
"Rajasthan","Jaipur","Amber Fort","Fort","11/19/2023","802","Cold","Monsoon","Low","132"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","6/8/2023","198","Mountain","Summer","High","320"
"Uttar Pradesh","Agra","Agra Fort","Monument","9/16/2023","3310","Hot-Dry","Winter","Low","288"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","6/13/2023","1893","Mountain","Monsoon","Low","28"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","1/16/2023","3816","Humid","Winter","High","321"
"Telangana","Hyderabad","Charminar","Monument","6/12/2023","1014","Humid","Monsoon","Low","277"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","10/26/2023","3775","Tropical","Winter","Moderate","250"
"Tamil Nadu","Chennai","Marina Beach","Beach","10/4/2023","2533","Mountain","Monsoon","High","385"
"Rajasthan","Jaipur","Hawa Mahal","Monument","3/16/2023","2958","Mountain","Summer","Low","180"
"Gujarat","Somnath","Somnath Temple","Temple","9/25/2023","2735","Hot-Dry","Summer","High","239"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","7/25/2023","3769","Cold","Monsoon","Low","169"
"Rajasthan","Udaipur","City Palace","Palace","2/23/2023","2248","Mountain","Winter","Low","91"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","12/27/2023","3140","Hot-Dry","Monsoon","Low","43"
"Sikkim","Gangtok","Tsomgo Lake","Lake","1/7/2023","2988","Tropical","Summer","Moderate","324"
"Gujarat","Somnath","Somnath Temple","Temple","12/24/2023","2202","Cold","Winter","Moderate","134"
"Tamil Nadu","Madurai","Meenakshi Temple","Temple","8/14/2023","1726","Hot-Dry","Summer","High","159"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","6/9/2023","2674","Cold","Summer","High","193"
"Delhi","Delhi","India Gate","Monument","9/11/2023","901","Tropical","Summer","High","8"
"West Bengal","Kolkata","Howrah Bridge","Bridge","8/10/2023","1764","Cold","Summer","High","282"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","2/23/2023","860","Tropical","Summer","High","137"
"Karnataka","Hampi","Virupaksha Temple","Temple","1/1/2023","740","Tropical","Winter","High","98"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","12/11/2023","2807","Hot-Dry","Monsoon","Low","103"
"Telangana","Hyderabad","Charminar","Monument","6/1/2023","1263","Mountain","Summer","Low","162"
"Goa","Goa","Baga Beach","Beach","8/19/2023","3832","Humid","Monsoon","Low","131"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","11/27/2023","2951","Mountain","Winter","High","103"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","11/24/2023","2192","Cold","Monsoon","Low","141"
"Andhra Pradesh","Tirupati","Tirumala Temple","Temple","12/2/2023","2626","Mountain","Monsoon","High","106"
"Karnataka","Hampi","Virupaksha Temple","Temple","5/18/2023","3401","Mountain","Winter","High","217"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","5/28/2023","3354","Cold","Winter","Moderate","267"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","3/29/2023","2253","Cold","Winter","Moderate","333"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","4/1/2023","329","Tropical","Winter","High","124"
"Rajasthan","Jaipur","Amber Fort","Fort","12/19/2023","2408","Hot-Dry","Summer","Moderate","325"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","9/4/2023","2539","Cold","Summer","High","157"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","7/14/2023","2865","Mountain","Winter","Moderate","65"
"Maharashtra","Mumbai","Gateway of India","Monument","1/10/2023","3113","Mountain","Monsoon","Moderate","94"
"Karnataka","Mysore","Mysore Palace","Palace","4/17/2023","1829","Humid","Monsoon","Low","365"
"Uttar Pradesh","Agra","Taj Mahal","Monument","5/22/2023","2386","Tropical","Winter","Moderate","197"
"Maharashtra","Mumbai","Marine Drive","Coastal","10/19/2023","1011","Cold","Winter","Low","10"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","9/3/2023","522","Hot-Dry","Summer","Low","389"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","1/13/2023","1149","Humid","Monsoon","Moderate","119"
"Karnataka","Mysore","Mysore Palace","Palace","6/20/2023","3970","Cold","Winter","Low","312"
"Goa","Goa","Calangute Beach","Beach","9/17/2023","2766","Cold","Monsoon","High","399"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","1/7/2023","1161","Humid","Monsoon","High","35"
"Delhi","Delhi","India Gate","Monument","3/3/2023","2487","Cold","Summer","Moderate","308"
"Rajasthan","Jaipur","Hawa Mahal","Monument","12/2/2023","588","Cold","Winter","Low","393"
"Uttar Pradesh","Varanasi","Kashi Vishwanath Temple","Temple","3/1/2023","1855","Humid","Winter","Moderate","198"
"Uttar Pradesh","Agra","Agra Fort","Monument","7/29/2023","2430","Tropical","Winter","Moderate","208"
"Telangana","Hyderabad","Charminar","Monument","1/12/2023","3831","Hot-Dry","Monsoon","High","187"
"Tamil Nadu","Chennai","Marina Beach","Beach","12/28/2023","2373","Humid","Summer","High","163"
"Maharashtra","Mumbai","Gateway of India","Monument","10/30/2023","3556","Humid","Summer","Low","231"
"Ladakh","Leh","Pangong Lake","Lake","8/2/2023","2072","Humid","Monsoon","Moderate","13"
"West Bengal","Kolkata","Victoria Memorial","Monument","2/1/2023","792","Humid","Winter","Low","262"
"Andaman & Nicobar","Andaman","Radhanagar Beach","Beach","11/14/2023","978","Cold","Winter","Moderate","98"
"Meghalaya","Shillong","Living Root Bridges","Nature","9/4/2023","337","Humid","Summer","Moderate","52"
"Ladakh","Leh","Pangong Lake","Lake","11/30/2023","1320","Humid","Winter","Moderate","337"
"Rajasthan","Jaipur","Hawa Mahal","Monument","12/9/2023","2442","Tropical","Monsoon","High","11"
"Odisha","Konark","Sun Temple","Temple","6/7/2023","1557","Hot-Dry","Summer","Moderate","380"
"Odisha","Puri","Jagannath Temple","Temple","9/13/2023","2194","Humid","Summer","Moderate","144"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","8/8/2023","353","Tropical","Winter","Low","340"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","7/17/2023","2869","Mountain","Monsoon","Low","74"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","5/8/2023","1817","Tropical","Winter","Moderate","252"
"Odisha","Konark","Sun Temple","Temple","6/26/2023","1691","Cold","Winter","High","175"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","12/20/2023","2119","Humid","Summer","Moderate","120"
"Assam","Kaziranga","Kaziranga National Park","Wildlife","6/23/2023","2869","Hot-Dry","Winter","High","218"
"Himachal Pradesh","Manali","Rohtang Pass","Mountain","12/16/2023","1845","Cold","Monsoon","Low","213"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","1/18/2023","3857","Mountain","Monsoon","Low","12"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","12/22/2023","2857","Humid","Monsoon","Low","58"
"Rajasthan","Udaipur","City Palace","Palace","2/2/2023","2810","Mountain","Monsoon","Low","301"
"Rajasthan","Jaipur","Amber Fort","Fort","12/14/2023","885","Mountain","Winter","High","223"
"Maharashtra","Pune","Shaniwar Wada","Fort","11/18/2023","2348","Cold","Summer","Moderate","158"
