disease_name,severity,medications,safety_tips,precautions,risk_level
Arthritis,Low,Antimalarial; Antivirals; Paracetamol; ORS,Wear protective mask; Avoid crowded places; Avoid extreme temperatures; Stay hydrated,Avoid allergens; Carry emergency kit; Follow medication schedule,Low
Kidney Disease,Low,ORS; Steroids,Avoid extreme temperatures; Carry prescribed medicines; Stay hydrated; Wear protective mask,Avoid allergens; Consult doctor before travel; Use mosquito repellent,Low
Hepatitis,High,Antivirals; Bronchodilator; Antimalarial,Avoid extreme temperatures; Carry prescribed medicines; Take adequate rest; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,Moderate
Celiac Disease,Moderate,Ibuprofen; ORS; Pain Reliever,Maintain hygiene; Carry prescribed medicines; Avoid extreme temperatures; Take adequate rest,Carry emergency kit; Avoid allergens; Consult doctor before travel,Moderate
Rabies,High,Insulin; Antihistamine; Ibuprofen; Steroids,Wear protective mask; Carry prescribed medicines; Avoid extreme temperatures; Maintain hygiene,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,Low
Measles,Low,Antivirals; Insulin; Bronchodilator,Stay hydrated; Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines,Follow medication schedule; Carry emergency kit; Avoid allergens,High
Psoriasis,Moderate,Antibiotics; Antihistamine; Pain Reliever; Antimalarial,Monitor symptoms regularly; Wear protective mask; Maintain hygiene; Take adequate rest,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,Critical
Back Pain,High,ORS; Paracetamol,Carry prescribed medicines; Maintain hygiene; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,Moderate
Cold,Low,Paracetamol; Antibiotics,Avoid extreme temperatures; Take adequate rest; Avoid crowded places; Monitor symptoms regularly,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Critical
Ringworm,Low,Paracetamol; Ibuprofen; ORS; Antibiotics,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Carry prescribed medicines,Use mosquito repellent; Avoid allergens; Follow medication schedule,Moderate
